	Signature.1	Signature.2	Signature.3	Signature.13	Signature.6	out
TCGA-A2-A0D4-01A-11W-A019-09	6	0	15	0	3	0
TCGA-A2-A0EM-01A-11W-A050-09	0	0	8	0	12	0
TCGA-A2-A0EN-01A-13D-A099-09	22	0	7	0	0	0
TCGA-A2-A0EO-01A-11W-A050-09	0	4	7	0	16	0
TCGA-A2-A0EP-01A-52D-A22X-09	1	0	7	0	1	0
TCGA-A2-A0EQ-01A-11W-A050-09	0	17	19	25	14	0
TCGA-A2-A0ER-01A-21W-A050-09	21	0	3	0	0	0
TCGA-A2-A0ES-01A-11D-A10Y-09	0	0	2	0	2	0
TCGA-A2-A0ET-01A-31D-A045-09	11	0	9	3	8	0
TCGA-A2-A0EU-01A-22W-A071-09	28	2	5	0	0	0
TCGA-A2-A0EV-01A-11W-A050-09	11	9	23	0	6	0
TCGA-A2-A0EW-01A-21D-A10Y-09	6	0	2	1	4	0
TCGA-A2-A0EX-01A-21W-A050-09	13	5	0	0	0	0
TCGA-A2-A0EY-01A-11W-A050-09	61	96	0	41	0	0
TCGA-A2-A0ST-01A-12D-A099-09	0	3	5	0	0	0
TCGA-A2-A0SU-01A-11D-A099-09	0	1	3	1	12	0
TCGA-A2-A0SV-01A-11D-A099-09	5	0	13	0	13	0
TCGA-A2-A0SW-01A-11D-A099-09	19	7	18	0	0	0
TCGA-A2-A0SX-01A-12D-A099-09	5	3	10	0	6	0
TCGA-A2-A0SY-01A-31D-A099-09	26	33	0	64	0	0
TCGA-A2-A0T0-01A-22D-A099-09	0	0	132	0	24	1
TCGA-A2-A0T1-01A-21D-A099-09	0	4	0	0	8	0
TCGA-A2-A0T2-01A-11W-A097-09	12	4	2	0	5	0
TCGA-A2-A0T3-01A-21D-A10Y-09	4	0	22	0	10	0
TCGA-A2-A0T4-01A-31D-A099-09	0	3	8	0	16	0
TCGA-A2-A0T5-01A-21D-A099-09	0	0	1562	0	0	0
TCGA-A2-A0T6-01A-11D-A099-09	0	0	119	0	0	0
TCGA-A2-A0T7-01A-21D-A099-09	14	3	0	0	0	0
TCGA-A2-A0YC-01A-11D-A117-09	5	3	7	0	0	0
TCGA-A2-A0YD-01A-11D-A10G-09	24	15	0	9	0	0
TCGA-A2-A0YE-01A-11D-A10G-09	27	5	21	0	0	0
TCGA-A2-A0YF-01A-21D-A10G-09	7	2	10	0	6	0
TCGA-A2-A0YG-01A-21D-A10G-09	10	6	14	0	21	0
TCGA-A2-A0YH-01A-11D-A10G-09	13	11	15	15	0	0
TCGA-A2-A0YI-01A-31D-A10M-09	8	0	2	0	1	0
TCGA-A2-A0YJ-01A-11D-A10G-09	11	0	32	0	11	0
TCGA-A2-A0YK-01A-22D-A117-09	22	76	0	98	0	0
TCGA-A2-A0YL-01A-21D-A10G-09	4	5	0	4	0	0
TCGA-A2-A0YM-01A-11D-A10G-09	33	0	11	10	13	0
TCGA-A2-A0YT-01A-11D-A10G-09	32	5	0	0	15	0
TCGA-A2-A1FV-01A-11D-A13L-09	28	5	3	0	0	0
TCGA-A2-A1FW-01A-11D-A13L-09	32	0	20	0	17	0
TCGA-A2-A1FX-01A-11D-A13L-09	7	1	9	0	2	0
TCGA-A2-A1FZ-01A-51D-A17G-09	5	0	13	0	7	0
TCGA-A2-A1G0-01A-11D-A13L-09	8	2	11	0	0	0
TCGA-A2-A1G1-01A-21D-A13L-09	6	0	13	0	8	0
TCGA-A2-A1G4-01A-11D-A13L-09	4	7	10	0	10	0
TCGA-A2-A1G6-01A-11D-A13L-09	3	0	1	1	0	0
TCGA-A2-A259-01A-11D-A16D-09	0	4	6	0	4	0
TCGA-A2-A25A-01A-12D-A16D-09	0	17	69	0	15	0
TCGA-A2-A25B-01A-11D-A167-09	0	0	61	0	18	1
TCGA-A2-A25C-01A-11D-A167-09	2	3	14	0	5	0
TCGA-A2-A25D-01A-12D-A16D-09	13	6	25	0	6	0
TCGA-A2-A25E-01A-11D-A167-09	0	7	34	0	9	1
TCGA-A2-A25F-01A-11D-A167-09	0	0	3	0	5	1
TCGA-A2-A3KC-01A-11D-A20S-09	0	0	17	0	17	0
TCGA-A2-A3KD-01A-12D-A20S-09	10	5	5	0	0	0
TCGA-A2-A3XS-01A-11D-A22X-09	16	0	0	0	15	0
TCGA-A2-A3XT-01A-11D-A22X-09	13	0	76	14	0	0
TCGA-A2-A3XU-01A-12D-A22X-09	3	3	4	0	16	0
TCGA-A2-A3XV-01A-21D-A23C-09	8	0	22	0	19	0
TCGA-A2-A3XW-01A-11D-A23C-09	8	0	4	0	0	0
TCGA-A2-A3XX-01A-21D-A23C-09	7	8	10	0	12	0
TCGA-A2-A3XY-01A-11D-A23C-09	34	5	7	0	10	0
TCGA-A2-A3XZ-01A-42D-A23C-09	16	8	20	5	0	0
TCGA-A2-A3Y0-01A-11D-A23C-09	13	0	133	15	26	0
TCGA-A2-A4RW-01A-21D-A25Q-09	0	13	41	43	23	0
TCGA-A2-A4RX-01A-11D-A25Q-09	5	3	5	0	9	0
TCGA-A2-A4RY-01A-31D-A25Q-09	10	4	16	0	3	0
TCGA-A2-A4S0-01A-21D-A25Q-09	0	2	9	0	5	1
TCGA-A2-A4S1-01A-21D-A25Q-09	5	7	43	0	21	0
TCGA-A2-A4S2-01A-12D-A25Q-09	5	10	15	0	11	0
TCGA-A2-A4S3-01A-21D-A25Q-09	31	6	51	0	0	0
TCGA-A7-A0CD-01A-11W-A019-09	15	0	7	0	4	0
TCGA-A7-A0CE-01A-11W-A019-09	27	0	67	0	0	0
TCGA-A7-A0CG-01A-11W-A019-09	15	0	9	0	0	0
TCGA-A7-A0CH-01A-21W-A019-09	7	5	12	0	0	0
TCGA-A7-A0CJ-01A-21W-A019-09	16	0	18	0	9	0
TCGA-A7-A0D9-01A-31W-A071-09	6	6	9	0	3	0
TCGA-A7-A0DA-01A-31D-A10Y-09	20	0	106	0	0	1
TCGA-A7-A0DB-01A-11W-A019-09	1	0	10	2	1	0
TCGA-A7-A13D-01A-13D-A272-09	6	2	18	0	0	0
TCGA-A7-A13E-01A-11D-A12Q-09	36	11	85	0	19	0
TCGA-A7-A13F-01A-11D-A12Q-09	25	0	5	2	0	0
TCGA-A7-A13G-01A-11D-A13L-09	4	6	12	0	3	0
TCGA-A7-A13H-01A-11D-A228-09	5	0	14	0	4	0
TCGA-A7-A26E-01B-06D-A272-09	30	0	135	0	60	0
TCGA-A7-A26E-01A-11D-A272-09	5	0	3	1	4	0
TCGA-A7-A26F-01A-21D-A167-09	22	3	7	0	0	0
TCGA-A7-A26F-01B-04D-A22N-09	3	0	18	0	4	0
TCGA-A7-A26G-01A-21D-A167-09	13	11	28	0	0	0
TCGA-A7-A26H-01A-11D-A167-09	32	30	14	24	0	0
TCGA-A7-A26I-01A-11D-A167-09	8	7	17	0	0	0
TCGA-A7-A26J-01B-02D-A272-09	0	0	117	0	22	0
TCGA-A7-A26J-01A-11D-A167-09	5	2	14	0	0	0
TCGA-A7-A2KD-01A-31D-A21Q-09	7	3	17	0	19	0
TCGA-A7-A3IY-01A-21D-A21Q-09	10	0	13	0	0	0
TCGA-A7-A3IZ-01A-11D-A20S-09	36	27	46	19	0	0
TCGA-A7-A3J0-01A-11D-A20S-09	65	0	20	0	0	0
TCGA-A7-A3J1-01A-11D-A20S-09	13	0	18	0	0	0
TCGA-A7-A3RF-01A-11D-A228-09	0	0	41	0	23	0
TCGA-A7-A425-01A-11D-A243-09	11	0	31	0	4	0
TCGA-A7-A426-01A-22D-A243-09	21	0	18	0	4	0
TCGA-A7-A4SA-01A-11D-A25Q-09	13	0	59	18	0	0
TCGA-A7-A4SB-01A-21D-A25Q-09	7	11	17	0	4	0
TCGA-A7-A4SC-01A-12D-A25Q-09	24	4	6	0	5	0
TCGA-A7-A4SD-01A-11D-A25Q-09	30	0	9	0	16	0
TCGA-A7-A4SE-01A-11D-A25Q-09	0	0	77	17	14	1
TCGA-A7-A4SF-01A-11D-A25Q-09	37	13	27	8	0	0
TCGA-A7-A56D-01A-11D-A27P-09	28	52	36	28	0	0
TCGA-A7-A5ZV-01A-11D-A28B-09	33	0	154	0	22	1
TCGA-A7-A5ZW-01A-12D-A29N-09	13	4	0	6	6	0
TCGA-A7-A5ZX-01A-12D-A29N-09	3	5	8	0	12	0
TCGA-A8-A06N-01A-11W-A019-09	12	0	4	0	15	0
TCGA-A8-A06O-01A-11W-A019-09	50	0	0	0	0	0
TCGA-A8-A06P-01A-11W-A019-09	7	6	7	0	0	0
TCGA-A8-A06Q-01A-11W-A050-09	31	92	22	54	0	0
TCGA-A8-A06R-01A-11D-A015-09	8	9	23	0	9	1
TCGA-A8-A06T-01A-11W-A019-09	0	0	7	4	12	0
TCGA-A8-A06U-01A-11W-A019-09	20	4	13	0	12	0
TCGA-A8-A06X-01A-21W-A019-09	23	0	118	0	29	0
TCGA-A8-A06Y-01A-21W-A019-09	7	2	12	0	6	0
TCGA-A8-A06Z-01A-11W-A019-09	17	0	38	0	0	0
TCGA-A8-A075-01A-11D-A099-09	8	14	47	0	0	0
TCGA-A8-A076-01A-21W-A019-09	38	0	15	0	0	0
TCGA-A8-A079-01A-21W-A019-09	26	3	15	0	0	0
TCGA-A8-A07B-01A-11W-A019-09	0	20	17	10	7	0
TCGA-A8-A07C-01A-11D-A045-09	0	0	103	0	29	0
TCGA-A8-A07E-01A-11W-A050-09	0	20	13	0	20	0
TCGA-A8-A07F-01A-11W-A019-09	20	0	4	0	0	0
TCGA-A8-A07G-01A-11W-A050-09	8	0	23	0	9	0
TCGA-A8-A07I-01A-11W-A019-09	15	0	18	4	0	1
TCGA-A8-A07J-01A-11W-A019-09	11	5	3	2	3	0
TCGA-A8-A07L-01A-11W-A019-09	0	0	63	0	24	0
TCGA-A8-A07O-01A-11W-A019-09	19	15	4	0	0	0
TCGA-A8-A07P-01A-11W-A019-09	21	0	11	0	12	0
TCGA-A8-A07R-01A-21W-A050-09	0	25	266	0	79	1
TCGA-A8-A07U-01A-11W-A050-09	6	4	6	0	5	0
TCGA-A8-A07W-01A-11W-A019-09	19	0	24	7	28	0
TCGA-A8-A07Z-01A-11W-A019-09	0	0	3	0	16	0
TCGA-A8-A081-01A-11W-A019-09	25	0	28	9	16	0
TCGA-A8-A082-01A-11W-A019-09	2	0	0	1	13	0
TCGA-A8-A083-01A-21W-A019-09	2	2	19	0	0	0
TCGA-A8-A084-01A-21W-A019-09	14	15	18	4	6	0
TCGA-A8-A085-01A-11W-A019-09	4	0	48	12	0	0
TCGA-A8-A086-01A-11W-A019-09	0	0	1	0	16	0
TCGA-A8-A08A-01A-11W-A019-09	13	0	10	0	0	0
TCGA-A8-A08B-01A-11W-A019-09	13	14	3	0	0	0
TCGA-A8-A08F-01A-11W-A019-09	0	0	71	0	36	0
TCGA-A8-A08G-01A-11W-A019-09	5	0	8	2	16	0
TCGA-A8-A08H-01A-21W-A019-09	2	20	3	0	7	0
TCGA-A8-A08I-01A-11W-A019-09	13	4	16	0	0	0
TCGA-A8-A08J-01A-11W-A019-09	9	6	9	0	0	0
TCGA-A8-A08L-01A-11W-A019-09	18	14	113	51	0	1
TCGA-A8-A08O-01A-21W-A071-09	11	0	9	2	0	0
TCGA-A8-A08P-01A-11W-A019-09	6	3	8	10	5	0
TCGA-A8-A08R-01A-11W-A050-09	14	0	118	17	13	0
TCGA-A8-A08S-01A-11W-A050-09	27	3	6	0	5	0
TCGA-A8-A08T-01A-21W-A019-09	13	3	12	4	8	0
TCGA-A8-A08X-01A-21W-A019-09	0	0	0	1	14	0
TCGA-A8-A08Z-01A-21W-A019-09	16	5	3	0	6	0
TCGA-A8-A090-01A-11W-A019-09	19	8	0	0	4	0
TCGA-A8-A091-01A-11W-A019-09	12	5	0	0	0	0
TCGA-A8-A092-01A-11W-A019-09	26	31	7	10	0	1
TCGA-A8-A093-01A-11W-A019-09	31	54	0	10	0	0
TCGA-A8-A094-01A-11W-A019-09	20	47	40	59	0	0
TCGA-A8-A095-01A-11W-A019-09	16	62	0	40	0	0
TCGA-A8-A096-01A-11W-A019-09	11	0	8	0	5	0
TCGA-A8-A097-01A-11W-A050-09	0	0	64	7	15	1
TCGA-A8-A099-01A-11W-A019-09	2	0	17	2	0	0
TCGA-A8-A09A-01A-11W-A019-09	13	7	69	0	12	1
TCGA-A8-A09B-01A-11W-A019-09	16	4	10	0	2	0
TCGA-A8-A09C-01A-11W-A019-09	13	0	11	0	0	0
TCGA-A8-A09D-01A-11W-A019-09	0	8	15	0	14	0
TCGA-A8-A09E-01A-11W-A019-09	15	3	15	0	0	0
TCGA-A8-A09G-01A-21W-A019-09	22	101	0	112	0	0
TCGA-A8-A09I-01A-22W-A050-09	60	23	13	27	0	1
TCGA-A8-A09K-01A-11W-A019-09	7	6	8	0	10	0
TCGA-A8-A09M-01A-11W-A019-09	17	6	65	0	0	0
TCGA-A8-A09N-01A-11W-A019-09	33	21	0	20	0	0
TCGA-A8-A09Q-01A-11W-A019-09	62	0	32	0	0	0
TCGA-A8-A09R-01A-11W-A019-09	4	0	18	3	14	0
TCGA-A8-A09T-01A-11W-A019-09	3	3	6	0	7	0
TCGA-A8-A09V-01A-11D-A045-09	5	0	8	2	3	0
TCGA-A8-A09W-01A-11W-A019-09	0	0	37	4	26	1
TCGA-A8-A09X-01A-11W-A019-09	28	14	5	0	0	0
TCGA-A8-A09Z-01A-11W-A019-09	0	0	283	0	902	0
TCGA-A8-A0A1-01A-11W-A019-09	17	3	0	0	8	0
TCGA-A8-A0A2-01A-11W-A050-09	22	0	6	0	0	0
TCGA-A8-A0A4-01A-11W-A019-09	14	0	3	0	0	0
TCGA-A8-A0A6-01A-12W-A071-09	0	0	3168	0	0	1
TCGA-A8-A0A7-01A-11W-A019-09	6	59	0	21	0	0
TCGA-A8-A0A9-01A-11W-A019-09	28	6	0	10	0	0
TCGA-A8-A0AB-01A-11W-A050-09	12	0	4	1	0	0
TCGA-A8-A0AD-01A-11W-A071-09	0	3	14	0	10	0
TCGA-AC-A23C-01A-12D-A167-09	6	21	37	12	16	0
TCGA-AC-A23E-01A-11D-A159-09	8	0	8	0	0	0
TCGA-AC-A23G-01A-11D-A20S-09	15	2	12	0	0	0
TCGA-AC-A23H-01A-11D-A159-09	0	2075	0	2615	0	0
TCGA-AC-A2B8-01A-11D-A17D-09	9	40	15	33	0	0
TCGA-AC-A2BK-01A-11D-A21Q-09	6	0	52	0	28	0
TCGA-AC-A2BM-01A-11D-A21Q-09	0	0	18	0	7	0
TCGA-AC-A2FB-01A-11D-A17D-09	2	0	13	0	0	0
TCGA-AC-A2FE-01A-11D-A19Y-09	0	10	4	0	17	0
TCGA-AC-A2FF-01A-11D-A17D-09	0	1	11	1	0	0
TCGA-AC-A2FG-01A-11D-A17D-09	20	8	22	0	0	0
TCGA-AC-A2FK-01A-12D-A17W-09	0	0	1	0	0	0
TCGA-AC-A2FM-01A-11D-A19Y-09	19	0	36	0	0	0
TCGA-AC-A2FO-01A-11D-A17W-09	7	9	5	3	0	0
TCGA-AC-A2QH-01B-04D-A22N-09	8	0	0	1	0	0
TCGA-AC-A2QH-01A-11D-A18P-09	0	0	4	2	14	0
TCGA-AC-A2QI-01A-12D-A19Y-09	32	42	12	0	0	0
TCGA-AC-A2QJ-01A-12D-A19Y-09	44	0	52	0	0	0
TCGA-AC-A3BB-01A-21D-A19Y-09	36	32	71	0	0	1
TCGA-AC-A3EH-01A-22D-A228-09	32	0	26	0	6	0
TCGA-AC-A3HN-01A-11D-A20S-09	7	2	5	0	6	0
TCGA-AC-A3OD-01B-06D-A22N-09	9	0	71	0	7	0
TCGA-AC-A3OD-01A-11D-A21Q-09	5	6	2	0	9	0
TCGA-AC-A3QP-01A-11D-A22X-09	4	0	19	0	9	0
TCGA-AC-A3TM-01A-11D-A228-09	47	10	42	0	0	0
TCGA-AC-A3TN-01A-11D-A228-09	101	0	109	0	18	0
TCGA-AC-A3W5-01A-11D-A228-09	11	0	90	31	21	0
TCGA-AC-A3W6-01A-12D-A228-09	54	71	67	77	0	0
TCGA-AC-A3W7-01A-11D-A228-09	27	33	15	7	0	0
TCGA-AC-A3YI-01A-21D-A23C-09	6	3	10	0	0	0
TCGA-AC-A3YJ-01A-11D-A22X-09	20	2	10	0	0	0
TCGA-AC-A5EH-01A-11D-A28B-09	21	13	101	0	21	1
TCGA-AC-A5EI-01A-11D-A27P-09	11	9	7	0	6	0
TCGA-AC-A5XS-01A-11D-A29N-09	57	230	75	186	0	0
TCGA-AC-A5XU-01A-11D-A28B-09	47	6	6	0	8	0
TCGA-AC-A62X-01A-11D-A29N-09	46	0	0	0	18	0
TCGA-AC-A62Y-01A-11D-A29N-09	26	8	21	13	0	0
TCGA-AN-A03X-01A-21W-A019-09	5	0	14	0	4	0
TCGA-AN-A03Y-01A-21W-A019-09	21	5	0	0	0	0
TCGA-AN-A041-01A-11W-A050-09	12	0	6	0	0	0
TCGA-AN-A046-01A-21W-A050-09	3567	491	1609	0	0	1
TCGA-AN-A049-01A-21W-A019-09	17	0	2	0	9	0
TCGA-AN-A04A-01A-21W-A050-09	17	0	0	0	8	0
TCGA-AN-A04C-01A-21W-A050-09	28	0	11	4	9	0
TCGA-AN-A04D-01A-21W-A050-09	0	0	73	0	14	0
TCGA-AN-A0AJ-01A-11W-A019-09	29	0	24	8	8	0
TCGA-AN-A0AK-01A-21W-A019-09	0	0	175	0	788	0
TCGA-AN-A0AL-01A-11W-A019-09	13	0	49	4	0	1
TCGA-AN-A0AM-01A-11W-A050-09	13	0	25	7	0	0
TCGA-AN-A0AR-01A-11W-A019-09	13	0	86	9	0	0
TCGA-AN-A0AS-01A-11W-A019-09	15	3	9	0	0	0
TCGA-AN-A0AT-01A-11D-A045-09	0	0	78	0	28	1
TCGA-AN-A0FD-01A-11W-A050-09	3	0	24	0	6	0
TCGA-AN-A0FF-01A-11W-A050-09	6	0	8	0	8	0
TCGA-AN-A0FJ-01A-11W-A019-09	24	17	25	13	0	0
TCGA-AN-A0FK-01A-11W-A050-09	15	3	5	0	15	0
TCGA-AN-A0FL-01A-11W-A050-09	32	0	97	22	13	1
TCGA-AN-A0FN-01A-11W-A050-09	6	0	6	0	0	0
TCGA-AN-A0FS-01A-11W-A050-09	27	4	10	0	5	0
TCGA-AN-A0FT-01A-11W-A050-09	35	14	18	10	12	0
TCGA-AN-A0FV-01A-11W-A019-09	15	17	19	15	9	0
TCGA-AN-A0FW-01A-11W-A050-09	10	6	66	0	9	0
TCGA-AN-A0FX-01A-11W-A050-09	24	0	49	0	14	1
TCGA-AN-A0FY-01A-11W-A050-09	37	0	5	0	0	0
TCGA-AN-A0FZ-01A-11W-A050-09	36	3	4	0	0	0
TCGA-AN-A0G0-01A-11W-A050-09	33	0	0	0	0	0
TCGA-AN-A0XL-01A-11D-A10M-09	9	3	10	0	3	0
TCGA-AN-A0XN-01A-21D-A10G-09	0	0	98	0	18	0
TCGA-AN-A0XO-01A-11D-A10G-09	5	12	2	0	9	0
TCGA-AN-A0XP-01A-11D-A117-09	0	3	6	3	12	0
TCGA-AN-A0XR-01A-11D-A10G-09	11	4	16	0	0	0
TCGA-AN-A0XS-01A-22D-A10G-09	14	4	2	0	3	0
TCGA-AN-A0XT-01A-11D-A10G-09	13	0	5	0	0	0
TCGA-AN-A0XU-01A-11D-A10G-09	22	0	70	0	0	1
TCGA-AN-A0XV-01A-11D-A10G-09	9	0	8	4	6	0
TCGA-AN-A0XW-01A-11D-A10G-09	0	84	0	137	0	0
TCGA-AO-A03L-01A-41W-A071-09	7	0	11	2	0	0
TCGA-AO-A03M-01B-11D-A10M-09	0	342	0	437	0	0
TCGA-AO-A03N-01B-11D-A10M-09	19	26	14	30	13	0
TCGA-AO-A03O-01A-11W-A019-09	23	0	21	0	13	0
TCGA-AO-A03P-01A-11W-A019-09	5	0	14	0	20	0
TCGA-AO-A03R-01A-21W-A050-09	25	0	11	0	0	0
TCGA-AO-A03T-01A-21W-A050-09	11	0	56	9	0	0
TCGA-AO-A03U-01B-21D-A10M-09	0	0	4	1	0	0
TCGA-AO-A03V-01A-11D-A10Y-09	20	7	20	5	0	1
TCGA-AO-A0J2-01A-11W-A050-09	0	0	41	0	22	0
TCGA-AO-A0J3-01A-11W-A050-09	9	14	16	0	27	0
TCGA-AO-A0J4-01A-11W-A050-09	26	0	31	22	0	0
TCGA-AO-A0J5-01A-11W-A050-09	7	3	16	0	14	0
TCGA-AO-A0J6-01A-11W-A050-09	0	0	67	9	17	0
TCGA-AO-A0J7-01A-11W-A050-09	1	4	3	0	9	0
TCGA-AO-A0J8-01A-21D-A045-09	11	2	13	0	0	0
TCGA-AO-A0J9-01A-11W-A050-09	8	55	0	10	12	0
TCGA-AO-A0JA-01A-11W-A071-09	2	13	9	0	0	0
TCGA-AO-A0JB-01A-11W-A071-09	6	6	44	0	10	0
TCGA-AO-A0JC-01A-11W-A071-09	0	1	7	1	0	0
TCGA-AO-A0JD-01A-11W-A071-09	29	0	66	0	0	0
TCGA-AO-A0JE-01A-11W-A071-09	15	3	7	14	0	0
TCGA-AO-A0JF-01A-11W-A071-09	0	4	13	0	3	0
TCGA-AO-A0JI-01A-21W-A100-09	13	0	0	0	0	0
TCGA-AO-A0JJ-01A-11W-A071-09	2	0	6	0	3	0
TCGA-AO-A0JL-01A-11W-A071-09	17	5	29	0	3	0
TCGA-AO-A0JM-01A-21W-A071-09	24	0	0	6	0	0
TCGA-AO-A124-01A-11D-A10M-09	30	0	101	0	0	1
TCGA-AO-A125-01A-11D-A10M-09	17	3	3	0	9	0
TCGA-AO-A126-01A-11D-A10M-09	13	3	5	0	0	0
TCGA-AO-A128-01A-11D-A10M-09	126	0	111	0	670	0
TCGA-AO-A129-01A-21D-A10M-09	22	5	46	11	0	0
TCGA-AO-A12A-01A-21D-A10Y-09	0	4	1	0	9	0
TCGA-AO-A12B-01A-11D-A10M-09	7	1	4	0	3	0
TCGA-AO-A12D-01A-11D-A10Y-09	11	11	7	5	0	0
TCGA-AO-A12E-01A-11D-A10M-09	276	0	214	0	132	1
TCGA-AO-A12F-01A-11D-A10Y-09	10	0	0	0	16	0
TCGA-AO-A12G-01A-11D-A10M-09	7	6	14	0	6	0
TCGA-AO-A12H-01A-11D-A10Y-09	13	0	6	0	0	0
TCGA-AO-A1KO-01A-31D-A188-09	2	0	15	0	0	0
TCGA-AO-A1KP-01A-11D-A13L-09	20	0	0	0	2	0
TCGA-AO-A1KR-01A-12D-A142-09	9	4	40	4	9	0
TCGA-AO-A1KS-01A-11D-A13L-09	19	19	0	0	0	0
TCGA-AO-A1KT-01A-11D-A13L-09	11	3	9	0	16	0
TCGA-AQ-A04H-01B-11D-A10M-09	65	0	0	0	0	0
TCGA-AQ-A04J-01A-02W-A050-09	8	0	32	0	0	0
TCGA-AQ-A04L-01B-21D-A10M-09	41	0	0	3	0	0
TCGA-AQ-A0Y5-01A-11D-A14K-09	31	7	7	4	0	0
TCGA-AQ-A1H2-01A-11D-A13L-09	6	3	6	0	9	0
TCGA-AQ-A1H3-01A-31D-A13L-09	23	0	0	0	4	0
TCGA-AQ-A54N-01A-11D-A25Q-09	0	12	44	0	23	0
TCGA-AQ-A54O-01A-11D-A25Q-09	9	4	8	0	6	0
TCGA-AR-A0TS-01A-11D-A10Y-09	0	5	17	6	12	0
TCGA-AR-A0TU-01A-31D-A10G-09	16	7	39	0	6	0
TCGA-AR-A0TX-01A-11D-A099-09	19	117	26	122	0	0
TCGA-AR-A0TY-01A-12W-A12T-09	9	0	25	0	9	0
TCGA-AR-A0U0-01A-11D-A10G-09	0	0	11	6	13	0
TCGA-AR-A0U1-01A-11D-A10Y-09	0	0	59	0	6	0
TCGA-AR-A0U2-01A-11D-A10G-09	0	0	17	0	28	0
TCGA-AR-A0U3-01A-11D-A10G-09	13	0	9	0	8	0
TCGA-AR-A1AH-01A-11D-A12B-09	10	0	53	0	26	0
TCGA-AR-A1AI-01A-11D-A12Q-09	9	0	24	11	9	1
TCGA-AR-A1AJ-01A-21D-A12Q-09	15	6	0	0	0	0
TCGA-AR-A1AK-01A-21D-A12Q-09	23	17	12	9	0	0
TCGA-AR-A1AL-01A-21D-A12Q-09	9	0	9	2	3	0
TCGA-AR-A1AM-01A-41D-A228-09	11	3	13	0	0	1
TCGA-AR-A1AN-01A-11D-A12Q-09	13	0	0	4	0	0
TCGA-AR-A1AO-01A-11D-A12Q-09	5	0	0	3	0	0
TCGA-AR-A1AP-01A-11D-A12Q-09	8	0	0	7	19	0
TCGA-AR-A1AQ-01A-11D-A12Q-09	0	0	12	0	25	0
TCGA-AR-A1AR-01A-31D-A135-09	7	0	30	3	8	0
TCGA-AR-A1AS-01A-11D-A12Q-09	7	12	7	0	11	0
